Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Kenzie,Cavalier King Charles Spaniel,"(42.39324255, -71.13769217)",-71.13769217,-71.13769217,North Cambridge
Oscar Madison,Golden Doodle,"(42.38472047, -71.11872824)",-71.11872824,-71.11872824,Agassiz
Beasley,Border Collie,"(42.37286775, -71.08371257)",-71.08371257,-71.08371257,East Cambridge
Dixie,Cairn Terrier,"(42.37375549, -71.10919855)",-71.10919855,-71.10919855,Mid-Cambridge
Ione,Labrador Retriever,"(42.38529449, -71.13822924)",-71.13822924,-71.13822924,West Cambridge
Pepe,Maltipoo,"(42.36587277, -71.09149586)",-71.09149586,-71.09149586,The Port
Stanley,Jack Russel Terrier,"(42.37841578, -71.1499471)",-71.1499471,-71.1499471,Strawberry Hill
Max,Tibetan Terrier,"(42.3854622, -71.13434132)",-71.13434132,-71.13434132,Neighborhood Nine
Buffy,Greyhound,"(42.3694148, -71.09187865)",-71.09187865,-71.09187865,Wellington-Harrington
Macy,Siberean Husky,"(42.3720771, -71.10122871)",-71.10122871,-71.10122871,Mid-Cambridge
Oshi,Maltese / Poodle Mix,"(42.39611063, -71.14327022)",-71.14327022,-71.14327022,North Cambridge
Lara,Miniature Dachshund,"(42.38863138, -71.12404703)",-71.12404703,-71.12404703,Neighborhood Nine
Keiko,Cocker Spaniel,"(42.361787, -71.11000938)",-71.11000938,-71.11000938,Cambridgeport
Blaze,English Labrador Retriever,"(42.38395265, -71.13718473)",-71.13718473,-71.13718473,West Cambridge
Nola,Labrador Retriever,"(42.37018416, -71.10539448)",-71.10539448,-71.10539448,Mid-Cambridge
Rosie,Terrier,"(42.38626298, -71.12281756)",-71.12281756,-71.12281756,Neighborhood Nine
Molly,Labrador Retriever,"(42.36443555, -71.10167602)",-71.10167602,-71.10167602,The Port
Hero,Sheltie,"(42.37316169, -71.07719519)",-71.07719519,-71.07719519,East Cambridge
Hendrix,Labrador Retriever,"(42.35726046, -71.11116432)",-71.11116432,-71.11116432,Cambridgeport
Toby,Lab Mix,"(42.36889485, -71.09667713)",-71.09667713,-71.09667713,Wellington-Harrington
Chance,Dachshund,"(42.37762812, -71.15050157)",-71.15050157,-71.15050157,Strawberry Hill
Chloe,Cockerpoo,"(42.37616006, -71.12962798)",-71.12962798,-71.12962798,West Cambridge
Marty,Lab retriever mix,"(42.36966532, -71.08619607)",-71.08619607,-71.08619607,East Cambridge
Atlas,Great Dane,"(42.37523318, -71.09002175)",-71.09002175,-71.09002175,Wellington-Harrington
Rosie,West Highland White Terrier,"(42.37297831, -71.08255333)",-71.08255333,-71.08255333,East Cambridge
Enkidu,Greyhound Mix,"(42.39208766, -71.14744072)",-71.14744072,-71.14744072,Cambridge Highlands
Copper,Nova Scotia Duck Tolling Retriever,"(42.38999233, -71.14551032)",-71.14551032,-71.14551032,Cambridge Highlands
Charlie,Daschund,"(42.37928716, -71.1070171)",-71.1070171,-71.1070171,Agassiz
Sophie,Golden Retriever,"(42.39136445, -71.14441226)",-71.14441226,-71.14441226,Cambridge Highlands
Finn,Bichon Frise Mix,"(42.37003553, -71.1041337)",-71.1041337,-71.1041337,Mid-Cambridge
Murdoch,Yorkshire Terrier,"(42.38533937, -71.13496489)",-71.13496489,-71.13496489,Neighborhood Nine
Maya,Labrador Retriever,"(42.38487748, -71.12966045)",-71.12966045,-71.12966045,Neighborhood Nine
Doctor,Shepherd,"(42.37359266, -71.10030374)",-71.10030374,-71.10030374,Mid-Cambridge
Coriander,Cavalier King Charles Spaniel,"(42.35895312, -71.10519004)",-71.10519004,-71.10519004,Cambridgeport
Chester,Border Terrier,"(42.37714415, -71.12970224)",-71.12970224,-71.12970224,West Cambridge
Clancy,Vizsla,"(42.37183007, -71.10345616)",-71.10345616,-71.10345616,Mid-Cambridge
Sunny,Terrier,"(42.37766681, -71.11061155)",-71.11061155,-71.11061155,Mid-Cambridge
Riley,American Bulldog,"(42.40064783, -71.13514314)",-71.13514314,-71.13514314,North Cambridge
Nacho,Border Collie,"(42.37212944, -71.07542436)",-71.07542436,-71.07542436,East Cambridge
Laika,Dachshund Mix,"(42.37932979, -71.1096504)",-71.1096504,-71.1096504,Agassiz
Ruby,Yorkshire Terrier Mix,"(42.3712867, -71.09989801)",-71.09989801,-71.09989801,The Port
Tosha,Border Collie,"(42.35858301, -71.11480558)",-71.11480558,-71.11480558,Cambridgeport
Jasper,Boston Terrier,"(42.3609341, -71.10845768)",-71.10845768,-71.10845768,Cambridgeport
Ripple,Nova Scotia Duck Tolling Retriever,"(42.37712734, -71.15318738)",-71.15318738,-71.15318738,Strawberry Hill
Muffala,Cocker Spaniel,"(42.37857558, -71.14564761)",-71.14564761,-71.14564761,West Cambridge
Echo,Sato,"(42.38474377, -71.11894932)",-71.11894932,-71.11894932,Agassiz
Huckleberry,Labrador Retriever,"(42.38038336, -71.14023551)",-71.14023551,-71.14023551,West Cambridge
William,Yorksire Terrier,"(42.3645628, -71.09596188)",-71.09596188,-71.09596188,The Port
"Yossarian "" Yo- Yo""",Corgi,"(42.39987796, -71.13077527)",-71.13077527,-71.13077527,North Cambridge
Alex,Bernese Mountain Dog,"(42.38779354, -71.16106849)",-71.16106849,-71.16106849,Strawberry Hill
Henry,French Bulldog,"(42.39615887, -71.14596458)",-71.14596458,-71.14596458,North Cambridge
Charley,Cavapoo,"(42.37319843, -71.07699209)",-71.07699209,-71.07699209,East Cambridge
Kuki,Tibetan Terrier,"(42.39281121, -71.13208504)",-71.13208504,-71.13208504,North Cambridge
Sasha,Bichon Frise,"(42.37819912, -71.14049728)",-71.14049728,-71.14049728,West Cambridge
Zoe,Feist,"(42.36796981, -71.09577937)",-71.09577937,-71.09577937,The Port
Zoetis,Pug,"(42.37560328, -71.09708445)",-71.09708445,-71.09708445,NA
Dynasty,Pit Bull,"(42.38202192, -71.14079128)",-71.14079128,-71.14079128,West Cambridge
Kerry,German Shepherd,"(42.37580596, -71.14656816)",-71.14656816,-71.14656816,West Cambridge
Oliver,Boston Terrier,"(42.39053397, -71.14584945)",-71.14584945,-71.14584945,Cambridge Highlands
Dolly,Beagle,"(42.38370242, -71.14082552)",-71.14082552,-71.14082552,West Cambridge
Peso,Australian Shepherd,"(42.37923871, -71.14394778)",-71.14394778,-71.14394778,West Cambridge
Izzy,Corgi,"(42.37142074, -71.09050902)",-71.09050902,-71.09050902,Wellington-Harrington
Chauncey,Lab,"(42.39104541, -71.14725546)",-71.14725546,-71.14725546,Cambridge Highlands
Zapata,Chihuahua,"(42.37619998, -71.15516531)",-71.15516531,-71.15516531,Strawberry Hill
Carlisle,American Foxhound,"(42.38848337, -71.12170309)",-71.12170309,-71.12170309,North Cambridge
Vinny,West Highland White Terrier,"(42.38404153, -71.12411133)",-71.12411133,-71.12411133,Neighborhood Nine
Sachi,German Shepherd,"(42.37573548, -71.0950207)",-71.0950207,-71.0950207,Wellington-Harrington
Duffy,Maltese,"(42.37003443, -71.09921565)",-71.09921565,-71.09921565,The Port
Gracie Krum,"Goldendoodle, Mini","(42.36347108, -71.10765498)",-71.10765498,-71.10765498,Cambridgeport
Boss Dog,Schipperkee,"(42.3689387, -71.10882202)",-71.10882202,-71.10882202,Mid-Cambridge
Buckle,Portuguese Water Dog,"(42.37786186, -71.14057504)",-71.14057504,-71.14057504,West Cambridge
Cassius,Boxer,"(42.40018954, -71.13127054)",-71.13127054,-71.13127054,North Cambridge
Tycho,French Bulldog,"(42.36782873, -71.09378068)",-71.09378068,-71.09378068,The Port
Jobe,Rat Terrier,"(42.36700885, -71.09755579)",-71.09755579,-71.09755579,The Port
Chester,Jrt,"(42.38480463, -71.1228159)",-71.1228159,-71.1228159,Neighborhood Nine
Lucy Niles-Rich,Beagle Mix,"(42.37031086, -71.11322645)",-71.11322645,-71.11322645,Riverside
Dublin,Labradoddle,"(42.37620378, -71.14745152)",-71.14745152,-71.14745152,West Cambridge
Diesel,Pit Bull,"(42.39925722, -71.13444484)",-71.13444484,-71.13444484,North Cambridge
Shiloh,Belgian Shepherd,"(42.37738533, -71.14202308)",-71.14202308,-71.14202308,West Cambridge
Marcus,Welsh Spaniel,"(42.37916797, -71.13184547)",-71.13184547,-71.13184547,West Cambridge
Gryphon,Schnauzer,"(42.38625071, -71.12054244)",-71.12054244,-71.12054244,Neighborhood Nine
Jerry,Terr,"(42.36962437, -71.11396235)",-71.11396235,-71.11396235,Mid-Cambridge
Ally,Beagle Mix,"(42.37648775, -71.1340245)",-71.1340245,-71.1340245,West Cambridge
Lucy,Cockerpoo,"(42.37288181, -71.12652862)",-71.12652862,-71.12652862,West Cambridge
Jordy,Chihuahua Mix,"(42.35796427, -71.1100017)",-71.1100017,-71.1100017,Cambridgeport
Eleanor,Boxer Mix,"(42.370003, -71.10558952)",-71.10558952,-71.10558952,Mid-Cambridge
Lotus,Cane Corso,"(42.3981796, -71.13452099)",-71.13452099,-71.13452099,North Cambridge
Jimmer,Golden-Doodle,"(42.38104446, -71.11528225)",-71.11528225,-71.11528225,Agassiz
Scout,Labrador Retriever,"(42.3781749, -71.14833792)",-71.14833792,-71.14833792,West Cambridge
Desi,Lab/Shep,"(42.36629386, -71.08216228)",-71.08216228,-71.08216228,East Cambridge
Scruffy,Lhasa Apso Mix,"(42.39727229, -71.13710427)",-71.13710427,-71.13710427,North Cambridge
Bridget,English Shepherd,"(42.37099719, -71.08367185)",-71.08367185,-71.08367185,East Cambridge
Leo,Golden Retriever,"(42.36955396, -71.07056852)",-71.07056852,-71.07056852,East Cambridge
Juno,Husky,"(42.37944728, -71.12688892)",-71.12688892,-71.12688892,West Cambridge
Sherlock,Labrador Retriever,"(42.39520067, -71.13521597)",-71.13521597,-71.13521597,North Cambridge
Kuma,Corgi,"(42.36608572, -71.10646045)",-71.10646045,-71.10646045,Riverside
Chloe,Yorksire Terrier,"(42.38074032, -71.14527424)",-71.14527424,-71.14527424,West Cambridge
Jackie,Aust Shep Mix,"(42.3716315, -71.10625078)",-71.10625078,-71.10625078,Mid-Cambridge
Gertie,LABRADOR Retriever,"(42.37065198, -71.10585419)",-71.10585419,-71.10585419,Mid-Cambridge
Olive,French Bulldog/Bos Terr,"(42.38023578, -71.12851467)",-71.12851467,-71.12851467,West Cambridge
Huckleberry,Border Collie Mix,"(42.37380614, -71.131338)",-71.131338,-71.131338,West Cambridge
Huck,Jack Russel Mix,"(42.39235131, -71.13431422)",-71.13431422,-71.13431422,North Cambridge
Reese,Chihuahua Mix,"(42.38235973, -71.11563171)",-71.11563171,-71.11563171,Agassiz
Trapper,Shetland Sheepdog,"(42.39814601, -71.13420042)",-71.13420042,-71.13420042,North Cambridge
Clark,Dachshund,"(42.35404175, -71.10941287)",-71.10941287,-71.10941287,Cambridgeport
Dagwood,Labrador Ret. Mix,"(42.38391547, -71.1316234)",-71.1316234,-71.1316234,Neighborhood Nine
Bear,Mix,"(42.38410168, -71.13898378)",-71.13898378,-71.13898378,West Cambridge
Alice,Labrador Retriever,"(42.38680587, -71.13465156)",-71.13465156,-71.13465156,Neighborhood Nine
Sophie,Border Collie,"(42.37781952, -71.15630418)",-71.15630418,-71.15630418,Strawberry Hill
Marina Mirabal,Maltese / Poodle Mix,"(42.38519415, -71.13012526)",-71.13012526,-71.13012526,Neighborhood Nine
Elmo,Cairn Terrier,"(42.37486927, -71.1366489)",-71.1366489,-71.1366489,West Cambridge
Mikey,Poodle/Shitzu,"(42.3614702, -71.10952068)",-71.10952068,-71.10952068,Cambridgeport
Marlie,Golden Retriever,"(42.39384047, -71.14528094)",-71.14528094,-71.14528094,Cambridge Highlands
Snickers,Terrier,"(42.37985921, -71.15149902)",-71.15149902,-71.15149902,Strawberry Hill
Penelope,Rhodesian Ridgeback,"(42.37150791, -71.09907175)",-71.09907175,-71.09907175,The Port
Darwin,Poodle,"(42.3793641, -71.14654098)",-71.14654098,-71.14654098,West Cambridge
Lilly,Shep,"(42.37411991, -71.07755602)",-71.07755602,-71.07755602,East Cambridge
Darwin,German Shorthaired Pointer,"(42.39272689, -71.14481877)",-71.14481877,-71.14481877,Cambridge Highlands
Sammy,Shiba Inu,"(42.36939389, -71.08284629)",-71.08284629,-71.08284629,East Cambridge
Lily,Dalmatian,"(42.38680004, -71.11627227)",-71.11627227,-71.11627227,Agassiz
Oscar,COLLIE,"(42.37737355, -71.13013737)",-71.13013737,-71.13013737,West Cambridge
Leonard,Bichon Frise,"(42.39855953, -71.13548259)",-71.13548259,-71.13548259,North Cambridge
Molly,King Charles Spaniel,"(42.37123443, -71.12480114)",-71.12480114,-71.12480114,West Cambridge
Belle,Dachshund,"(42.39118646, -71.12449989)",-71.12449989,-71.12449989,North Cambridge
Remi,,"(42.38936009, -71.13991755)",-71.13991755,-71.13991755,Neighborhood Nine
Buda,Vizsla,"(42.36891444, -71.09252511)",-71.09252511,-71.09252511,The Port
Loki,Maltese,"(42.37095683, -71.11217705)",-71.11217705,-71.11217705,Mid-Cambridge
Fred,Golden Retriever,"(42.39726297, -71.13547066)",-71.13547066,-71.13547066,North Cambridge
Heidi,Newfoundland,"(42.38511397, -71.13097358)",-71.13097358,-71.13097358,Neighborhood Nine
Charlie,Choc Lab Mix,"(42.38393069, -71.11902234)",-71.11902234,-71.11902234,Agassiz
Buddy,Dachshund,"(42.38510512, -71.11717987)",-71.11717987,-71.11717987,Agassiz
Marti,Maltese,"(42.37478241, -71.13822552)",-71.13822552,-71.13822552,West Cambridge
Birdie,Labrador Retriever Mix,"(42.36970395, -71.11053053)",-71.11053053,-71.11053053,Mid-Cambridge
Misty Joe,Jack Russell Terrier,"(42.36529053, -71.09402073)",-71.09402073,-71.09402073,The Port
Billie,Red Tick Coon Hound,"(42.37418369, -71.09183032)",-71.09183032,-71.09183032,Wellington-Harrington
Sydney,Yorkshire Terrier,"(42.39626393, -71.14197486)",-71.14197486,-71.14197486,North Cambridge
Thatcher,Labrador Retriever,"(42.38458036, -71.12100822)",-71.12100822,-71.12100822,Neighborhood Nine
Bug,Boston Terr,"(42.40092002, -71.13393938)",-71.13393938,-71.13393938,North Cambridge
Fenway,Golden Doodle,"(42.38401377, -71.13923145)",-71.13923145,-71.13923145,West Cambridge
Mehitabel,Poodle Mix,"(42.38639242, -71.12593844)",-71.12593844,-71.12593844,Neighborhood Nine
Ray,Border Collie / Mix,"(42.37355042, -71.07305857)",-71.07305857,-71.07305857,East Cambridge
Baby Renta,Shih - Tzu,"(42.38825122, -71.13462379)",-71.13462379,-71.13462379,Neighborhood Nine
Romeo,Golden Retriever,"(42.38184061, -71.12466697)",-71.12466697,-71.12466697,Neighborhood Nine
Leo,Biewer,"(42.37132595, -71.10359357)",-71.10359357,-71.10359357,Mid-Cambridge
Casi,Yorkshire Terrier,"(42.36463286, -71.09994987)",-71.09994987,-71.09994987,The Port
Chowder,Terrier Mix,"(42.37835226, -71.14186265)",-71.14186265,-71.14186265,West Cambridge
Jersey,Terrier,"(42.39091781, -71.123134)",-71.123134,-71.123134,North Cambridge
Lily,Miniature Schnauzer,"(42.36942902, -71.08143198)",-71.08143198,-71.08143198,East Cambridge
Saffron,,"(42.36654738, -71.07612216)",-71.07612216,-71.07612216,East Cambridge
Moka,Labrador Retriever,"(42.38188528, -71.12000213)",-71.12000213,-71.12000213,Neighborhood Nine
Margot,French Bulldog,"(42.37701693, -71.14819444)",-71.14819444,-71.14819444,West Cambridge
Ruffles,Golden Retriever,"(42.37145701, -71.09842793)",-71.09842793,-71.09842793,The Port
Luna,Mix,"(42.39636185, -71.12801719)",-71.12801719,-71.12801719,North Cambridge
Freya,Mix,"(42.38774491, -71.12378088)",-71.12378088,-71.12378088,North Cambridge
Rocky,Bichon Frise,"(42.37008941, -71.08403365)",-71.08403365,-71.08403365,East Cambridge
Bella,West Highland White Terrier,"(42.3927632, -71.14221076)",-71.14221076,-71.14221076,North Cambridge
Phoebe,Pug,"(42.3896647, -71.12241518)",-71.12241518,-71.12241518,Neighborhood Nine
Macallan,Lhasa Apso,"(42.3716234, -71.09861927)",-71.09861927,-71.09861927,Wellington-Harrington
Bravos,Pitbull Mix,"(42.37311955, -71.09250992)",-71.09250992,-71.09250992,Wellington-Harrington
Tilly,Australian Cattle Dog,"(42.3680619, -71.11261824)",-71.11261824,-71.11261824,Mid-Cambridge
Cato,Jack Russell Terrier,"(42.39768506, -71.12987366)",-71.12987366,-71.12987366,NA
Muneca,Cocker Spaniel,"(42.37016418, -71.12492172)",-71.12492172,-71.12492172,West Cambridge
Daisy,Mix,"(42.38320547, -71.12794561)",-71.12794561,-71.12794561,Neighborhood Nine
Odin,Airedale Terrier,"(42.38804006, -71.1275594)",-71.1275594,-71.1275594,Neighborhood Nine
Casper,Spaniel,"(42.3724917, -71.11216537)",-71.11216537,-71.11216537,Mid-Cambridge
Orville,Australian Cattle Dog,"(42.36770735, -71.08350307)",-71.08350307,-71.08350307,East Cambridge
Jack,Manchester Terrier,"(42.37572723, -71.13164483)",-71.13164483,-71.13164483,West Cambridge
Orenda,Blackmouth Cur,"(42.37255069, -71.07866425)",-71.07866425,-71.07866425,East Cambridge
Tess,TERR MX,"(42.38464858, -71.1318959)",-71.1318959,-71.1318959,Neighborhood Nine
Baxter,HAVANESE,"(42.3718371, -71.07554877)",-71.07554877,-71.07554877,East Cambridge
Captain,Labrador Retriever,"(42.35449592, -71.10687509)",-71.10687509,-71.10687509,Cambridgeport
Sadie,Cavapoo,"(42.37026817, -71.10457642)",-71.10457642,-71.10457642,Mid-Cambridge
Lupa,Iceladic Sheepdog,"(42.37202849, -71.09358768)",-71.09358768,-71.09358768,Wellington-Harrington
Gio,Pharoah Hound,"(42.36405355, -71.10858376)",-71.10858376,-71.10858376,Cambridgeport
Indie,Mix,"(42.39468931, -71.12813606)",-71.12813606,-71.12813606,North Cambridge
Kiki,German Shepherd,"(42.38147741, -71.13248346)",-71.13248346,-71.13248346,West Cambridge
Bunny,Miniature Poodle,"(42.37984897, -71.12706122)",-71.12706122,-71.12706122,Neighborhood Nine
Winston,Rat Terrier Chihuhua Mix,"(42.3696243, -71.09207868)",-71.09207868,-71.09207868,Wellington-Harrington
Sofie,Labrador / Hound,"(42.39118248, -71.12773598)",-71.12773598,-71.12773598,Neighborhood Nine
Otis,Cairn Terrier,"(42.37951095, -71.15445747)",-71.15445747,-71.15445747,Strawberry Hill
Joldosh,Mix,"(42.3791851, -71.12633723)",-71.12633723,-71.12633723,West Cambridge
Bella,German Shorthair Pointer,"(42.36929562, -71.07414204)",-71.07414204,-71.07414204,East Cambridge
Kid,Chihuahua Mix,"(42.38361495, -71.13590389)",-71.13590389,-71.13590389,West Cambridge
Cooper,Golden Retriever,"(42.38408119, -71.13811567)",-71.13811567,-71.13811567,West Cambridge
Izzy,Golden Retriever,"(42.35426271, -71.11151296)",-71.11151296,-71.11151296,Cambridgeport
Lady,Springer Spaniel,"(42.37320621, -71.11396051)",-71.11396051,-71.11396051,Mid-Cambridge
Angus,Havanese,"(42.38536514, -71.11822078)",-71.11822078,-71.11822078,Agassiz
Oscar,Mix,"(42.38873792, -71.12514692)",-71.12514692,-71.12514692,Neighborhood Nine
Oakley,Labradoodle,"(42.37268886, -71.0736451)",-71.0736451,-71.0736451,East Cambridge
Daisy,Great Dane,"(42.38508158, -71.11930073)",-71.11930073,-71.11930073,Agassiz
Pickles,Pekingese,"(42.381119, -71.13273141)",-71.13273141,-71.13273141,West Cambridge
Duncan,Siberian Husky,"(42.36963566, -71.10984059)",-71.10984059,-71.10984059,Riverside
Raja,Labrador Retriever,"(42.37997978, -71.13491097)",-71.13491097,-71.13491097,West Cambridge
Lara,Akita,"(42.37144879, -71.10882426)",-71.10882426,-71.10882426,Mid-Cambridge
Topaz,German Shepherd,"(42.38891125, -71.1228874)",-71.1228874,-71.1228874,North Cambridge
Petula,Pug,"(42.38583875, -71.12740288)",-71.12740288,-71.12740288,Neighborhood Nine
Annie,Terrier,"(42.36640424, -71.10649735)",-71.10649735,-71.10649735,Riverside
Winston,Welsh Terrier,"(42.38427134, -71.14260082)",-71.14260082,-71.14260082,West Cambridge
Sam,Collie,"(42.38673961, -71.12805471)",-71.12805471,-71.12805471,Neighborhood Nine
Stella,Wheaton Terrier,"(42.36312601, -71.11174013)",-71.11174013,-71.11174013,Riverside
Cooper,Labrador Retriever,"(42.3823095, -71.12248068)",-71.12248068,-71.12248068,Neighborhood Nine
Lucy,Hound Mix,"(42.39058972, -71.14568276)",-71.14568276,-71.14568276,Cambridge Highlands
Stanley,Min Schnauzer,"(42.39966143, -71.13189341)",-71.13189341,-71.13189341,North Cambridge
Diesel,Golden Doodle,"(42.37054558, -71.11289178)",-71.11289178,-71.11289178,Riverside
Miles,Dauchsand Mix,"(42.36656774, -71.10236604)",-71.10236604,-71.10236604,Mid-Cambridge
Haplo,Kelpie,"(42.36748318, -71.08177856)",-71.08177856,-71.08177856,East Cambridge
Bebe,Chihuahua,"(42.37312491, -71.08145203)",-71.08145203,-71.08145203,East Cambridge
Molly,Lab Ret Mix,"(42.39308582, -71.14169512)",-71.14169512,-71.14169512,North Cambridge
Franklin,Poodle,"(42.39303957, -71.12408713)",-71.12408713,-71.12408713,North Cambridge
Stitch,English Bulldog,"(42.38552465, -71.12026049)",-71.12026049,-71.12026049,Neighborhood Nine
Baby Horace,Shih Tzu Mix,"(42.3713251, -71.12619115)",-71.12619115,-71.12619115,West Cambridge
Ala,Teri/Mix,"(42.39120433, -71.12963179)",-71.12963179,-71.12963179,North Cambridge
Ben,Standard Poodle,"(42.39379728, -71.14582235)",-71.14582235,-71.14582235,Cambridge Highlands
Agnes,Pug,"(42.37075682, -71.10423638)",-71.10423638,-71.10423638,Mid-Cambridge
Homer,Labradoddle,"(42.37927924, -71.14570358)",-71.14570358,-71.14570358,West Cambridge
Argos,English Bulldog,"(42.35946001, -71.11404461)",-71.11404461,-71.11404461,Cambridgeport
Lola,Labrador Retriever,"(42.37782561, -71.14575027)",-71.14575027,-71.14575027,West Cambridge
Chloe,Rhodesian Ridgeback,"(42.3824096, -71.1414434)",-71.1414434,-71.1414434,West Cambridge
Winston,Bulldog,"(42.37189496, -71.09734044)",-71.09734044,-71.09734044,Wellington-Harrington
Jersey,Daschshund,"(42.36462918, -71.10790871)",-71.10790871,-71.10790871,Cambridgeport
Mila,Mountain Cur Mix,"(42.3597638, -71.10549702)",-71.10549702,-71.10549702,Cambridgeport
Merry Mags,Jack Russell Terrier,"(42.38287259, -71.12134526)",-71.12134526,-71.12134526,Neighborhood Nine
Theodore,Cavalier King Charles Spaniel,"(42.385883, -71.13563662)",-71.13563662,-71.13563662,Neighborhood Nine
Leo,Nova Scotia Duck Tolling Retriever,"(42.37195695, -71.10203534)",-71.10203534,-71.10203534,Mid-Cambridge
Gram,Hound Mix,"(42.38298502, -71.13653708)",-71.13653708,-71.13653708,West Cambridge
Buddy,Great Pyrenese,"(42.38716374, -71.12445468)",-71.12445468,-71.12445468,Neighborhood Nine
Scout,Cockapoo,"(42.38120715, -71.11534409)",-71.11534409,-71.11534409,Agassiz
Daisy,Dalmation,"(42.37886078, -71.1329628)",-71.1329628,-71.1329628,West Cambridge
Oliver,Beagle,"(42.37690066, -71.13928684)",-71.13928684,-71.13928684,West Cambridge
Callie,Beagle,"(42.36778396, -71.088331)",-71.088331,-71.088331,Wellington-Harrington
Louie,Bichon,"(42.37210765, -71.07329964)",-71.07329964,-71.07329964,East Cambridge
Spice,Pit Bull,"(42.36782898, -71.09914989)",-71.09914989,-71.09914989,The Port
Juno,Hound,"(42.37258535, -71.08726306)",-71.08726306,-71.08726306,East Cambridge
Beethoven,Peekapoo,"(42.36594315, -71.09735522)",-71.09735522,-71.09735522,The Port
Faris,Labrador Retriever,"(42.38768387, -71.1280664)",-71.1280664,-71.1280664,Neighborhood Nine
Rudy,Toy Terrier Mix,"(42.37398298, -71.08606034)",-71.08606034,-71.08606034,East Cambridge
Toto,Mix,"(42.3723637, -71.11160422)",-71.11160422,-71.11160422,Mid-Cambridge
Chaps,West Highland White Terrier,"(42.37077013, -71.09472536)",-71.09472536,-71.09472536,The Port
Tony,Labrador Retriever,"(42.39131285, -71.14411488)",-71.14411488,-71.14411488,Cambridge Highlands
Eloise,Mix,"(42.38909264, -71.13344457)",-71.13344457,-71.13344457,North Cambridge
Dexter,Yorkie Chihuahua Mix,"(42.39871918, -71.13353331)",-71.13353331,-71.13353331,North Cambridge
Dottie,Hound Mix,"(42.377174, -71.12846232)",-71.12846232,-71.12846232,West Cambridge
Duncan,Great Dane Mix,"(42.36856661, -71.10343712)",-71.10343712,-71.10343712,Mid-Cambridge
Finley,Shih Tzu,"(42.3606062, -71.11074626)",-71.11074626,-71.11074626,Cambridgeport
Gracie,Sheltie,"(42.3862285, -71.12930787)",-71.12930787,-71.12930787,Neighborhood Nine
Nenya,Pembroke Welsh Corgi,"(42.37446997, -71.09267921)",-71.09267921,-71.09267921,Wellington-Harrington
Misha,Alaskan Klee Kai,"(42.36916164, -71.07329426)",-71.07329426,-71.07329426,East Cambridge
Jackie,LABRADOR RETRIEVER,"(42.36226988, -71.08416908)",-71.08416908,-71.08416908,East Cambridge
Dee,Boston Terrier,"(42.38040717, -71.1100828)",-71.1100828,-71.1100828,Agassiz
Barney,Dachshund Mix,"(42.39727578, -71.13474548)",-71.13474548,-71.13474548,North Cambridge
Nien,Shih Tzu,"(42.37049089, -71.0885265)",-71.0885265,-71.0885265,Wellington-Harrington
Pollo,Staffordshire Terr Mix,"(42.37074149, -71.08216943)",-71.08216943,-71.08216943,East Cambridge
Tinkerbell,Labrador Retriever,"(42.37119727, -71.09755855)",-71.09755855,-71.09755855,The Port
Niko,Rottiweiler,"(42.3874457, -71.12671304)",-71.12671304,-71.12671304,Neighborhood Nine
Katrina,Labrador Retriever,"(42.39163057, -71.13775846)",-71.13775846,-71.13775846,Neighborhood Nine
Stella,Lab / Shep,"(42.36989667, -71.09464609)",-71.09464609,-71.09464609,Wellington-Harrington
Bailey,Yorksire Terrier,"(42.39745441, -71.12954711)",-71.12954711,-71.12954711,North Cambridge
Bosco,Labrador Retriever,"(42.39005468, -71.12214445)",-71.12214445,-71.12214445,North Cambridge
O.J.,Brittany Spaniel,"(42.38059003, -71.12278629)",-71.12278629,-71.12278629,Neighborhood Nine
Keena,,"(42.37532587, -71.13374747)",-71.13374747,-71.13374747,West Cambridge
Nuala,Australian Cattle Dog,"(42.38359466, -71.140073)",-71.140073,-71.140073,West Cambridge
Ollie,Golden Retriever,"(42.37906885, -71.13045185)",-71.13045185,-71.13045185,West Cambridge
Chai,Pit Bull,"(42.37731348, -71.10520707)",-71.10520707,-71.10520707,Mid-Cambridge
Charlie,Shih Tzu,"(42.38854469, -71.12091436)",-71.12091436,-71.12091436,Neighborhood Nine
Zinnia,Australian Shepherd,"(42.36919448, -71.10362182)",-71.10362182,-71.10362182,Mid-Cambridge
Mila,GOLDEN RET.POODLE MIX,"(42.36952745, -71.0786748)",-71.0786748,-71.0786748,East Cambridge
Harry,Terrier,"(42.366652, -71.09520942)",-71.09520942,-71.09520942,The Port
Lola,Toy Poodle,"(42.37048737, -71.07570084)",-71.07570084,-71.07570084,East Cambridge
Lucy,Border Collie,"(42.37853776, -71.14331085)",-71.14331085,-71.14331085,West Cambridge
Apache,Terrier,"(42.37347477, -71.1223986)",-71.1223986,-71.1223986,West Cambridge
Compass,Shepherd Mix,"(42.36112777, -71.10629313)",-71.10629313,-71.10629313,Cambridgeport
Nanook,Samoyed,"(42.36291877, -71.09309435)",-71.09309435,-71.09309435,Area 2/MIT
Caico,Lab,"(42.36292912, -71.0845974)",-71.0845974,-71.0845974,East Cambridge
Bailey,Australian Cattle Dog Mix,"(42.35678715, -71.10711607)",-71.10711607,-71.10711607,Cambridgeport
