Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 3/22/2019 6:30:28 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
110946,AMSTDIES 398,Reading and Research,027,American Studies,"Rivera,Mayra",0,2,0,0,0,0,0,2
110946,AMSTDIES 398,Reading and Research,029,American Studies,"Shelby,Tommie",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,032,American Studies,"Stauffer,John",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,035,American Studies,"Kim,Ju Yon",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,040,American Studies,"Gonzales,Roberto G.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,041,American Studies,"Garcia Pena,Lorgia",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,042,American Studies,"Deloria,Philip",0,3,0,0,0,0,0,3
124363,AMSTDIES 399,Doctoral Dissertatn Direction,001,American Studies,"Beckert,Sven",0,3,0,0,0,0,0,3
124363,AMSTDIES 399,Doctoral Dissertatn Direction,002,American Studies,"Bernstein,Robin",0,4,0,0,0,0,0,4
124363,AMSTDIES 399,Doctoral Dissertatn Direction,003,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,005,American Studies,"Claybaugh,Amanda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,007,American Studies,"Higginbotham,Evelyn Brooks",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,009,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,012,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,014,American Studies,"Stauffer,John",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,016,American Studies,"Terry,Brandon Michael",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,018,American Studies,"Deloria,Philip",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,019,American Studies,"Rivera,Mayra",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,021,American Studies,"Garcia Pena,Lorgia",0,2,0,0,0,0,0,2
211195,ANE 106,Ancient Mesopotamian Lit,001,Near Eastern Languages & Civ,"Hawkins,Laura",4,0,0,0,0,0,0,4
116590,ANE 320,Reading/Rsch: Anc Mesopotamia,002,Near Eastern Languages & Civ,"Steinkeller,Piotr",0,3,0,0,0,0,0,3
205088,ANTHRO 1059,Deep History,001,Anthropology,"Liebmann,Matt",9,0,0,1,0,0,0,10
123195,ANTHRO 1131,Archaeology of Harvard Yard II,001,Anthropology,"Loren,Diana",17,0,0,0,0,0,0,17
211105,ANTHRO 1145,The Green Planet:,001,Anthropology,"Caramanica,Ari Anne",5,2,0,2,0,0,0,9
120579,ANTHRO 1150,Ancient Landscapes,001,Anthropology,"Ur,Jason Alik",0,4,0,0,0,0,0,4
128061,ANTHRO 1168,Maya Glyphs,001,Anthropology,"Carter,Nicholas",10,0,0,0,0,0,0,10
109568,ANTHRO 1182,Arch of Ancient Mexico,001,Anthropology,"Fash,William",5,1,0,0,0,0,0,6
