Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 12/20/2019 6:30:02 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
127539,AFVS 351HF,Non-Fiction Filmmaking Wkshp,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,2,0,0,0,0,0,2
211192,AFVS 390,Graduate Studio Workshop,1,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,12,0,0,0,0,0,12
111189,AFVS 40A,Intro to Still Photography,001,"Art, Film, and Visual Studies","Perez,Elle",9,0,0,0,0,0,0,9
111189,AFVS 40A,Intro to Still Photography,002,"Art, Film, and Visual Studies","Perez,Elle",10,0,0,0,0,0,0,10
122184,AFVS 41A,Intro to Still Photography,1,"Art, Film, and Visual Studies","Harper,Sharon C.",10,0,0,0,0,0,0,10
114351,AFVS 50A,Intro to Non Fiction Filmmakin,001,"Art, Film, and Visual Studies","Guzzetti,Alfred",8,0,0,1,0,0,0,9
121542,AFVS 51A,Introduction to Video,1,"Art, Film, and Visual Studies","Moss,Robb",10,0,0,0,0,0,0,10
110676,AFVS 53AR,Fundamentals of Animation,001,"Art, Film, and Visual Studies","London,Andrew Saul",7,1,0,1,0,0,1,10
127469,AFVS 60X,Approaching Narrative: Intro,001,"Art, Film, and Visual Studies","Suwichakornpong,Anocha",10,0,0,0,0,0,0,10
205410,AFVS 63,On Objects: A Studio Course,1,"Art, Film, and Visual Studies","Pandian,Karthik",4,0,0,2,0,0,0,6
213583,AFVS 64F,Video as Medium,001,"Art, Film, and Visual Studies","Rodriguez,Carissa",5,0,0,1,0,0,0,6
117631,AFVS 73,Exploring Culture Through Film,1,"Art, Film, and Visual Studies","Kusumaryati,Veronika",12,0,0,2,0,0,0,14
123380,AFVS 80,Loitering: Studio Course,1,"Art, Film, and Visual Studies","Prina,Stephen",10,0,0,0,0,0,0,10
213508,AFVS 81R,Malleable Forms (A Studio of T,1,"Art, Film, and Visual Studies","Simmons,Xaviera",5,0,0,2,0,0,0,7
117193,AFVS 91R,Special Projects,001,"Art, Film, and Visual Studies","Saunders,Matt",2,0,0,0,0,0,0,2
110715,AFVS 98R,Tutorial - Junior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",2,0,0,0,0,0,0,2
117196,AFVS 99A,Tutorial - Senior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",17,0,0,0,0,0,0,17
159861,AFVS 99B,Tutorial - Senior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",2,0,0,0,0,0,0,2
120043,AKKAD 141R,Akkadian Myths and Epics,001,Near Eastern Languages & Civ,"Hawkins,Laura",0,1,0,0,0,0,0,1
123459,AKKAD 153,Old Akkadian,001,Near Eastern Languages & Civ,"Steinkeller,Piotr",0,6,0,0,0,0,0,6
111348,AKKAD 300,Akkadian Language & Literature,002,Near Eastern Languages & Civ,"Steinkeller,Piotr",0,1,0,0,0,0,0,1
114320,AKKAD AA,Introductory Akkadian I,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,3,0,0,0,0,0,4
205845,AMHARIC 101AR,Advanced Amharic,001,African & African Amer Studies,"Mugane,John M",3,0,0,0,0,0,0,3
126300,AMHARIC AA,Elementary Amharic,001,African & African Amer Studies,"Mugane,John M",9,2,0,1,0,0,0,12
205853,AMHARIC BA,Intermediate Amharic,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
118017,AMSTDIES 201,Themes in American Studies,01,American Studies,"Oja,Carol J.",0,14,0,0,0,0,0,14
205186,AMSTDIES 314A,Colloquium on Pedagogy,001,American Studies,"McKanan,Dan",0,5,0,0,0,0,0,5
214388,AMSTDIES 395,Graduate Coursework,001,American Studies,,0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,032,American Studies,"Stauffer,John",0,0,0,1,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,001,American Studies,"Beckert,Sven",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,002,American Studies,"Bernstein,Robin",0,3,0,0,0,0,0,3
124363,AMSTDIES 399,Doctoral Dissertatn Direction,003,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,004,American Studies,"Chaplin,Joyce E.",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,007,American Studies,"Higginbotham,Evelyn Brooks",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,009,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,012,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,013,American Studies,"Sommer,Doris",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,014,American Studies,"Stauffer,John",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,016,American Studies,"Rivera,Mayra",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,017,American Studies,"Reuben,Julie A.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,018,American Studies,"Deloria,Philip",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,019,American Studies,"García Peña,Lorgia",0,2,0,0,0,0,0,2
118849,ANE 120A,Hebrew Bible/Old Testament 1,001,Near Eastern Languages & Civ,"Teeter,Andrew",4,1,0,0,0,0,0,5
113798,ANE 122,Biblical Interpretation,001,Near Eastern Languages & Civ,"Saley,Richard James",1,0,0,0,0,0,0,1
109581,ANTHRO 1040,Origins of the Food We Eat,001,Anthropology,"Meadow,Richard H.",1,3,0,1,0,0,0,5
212663,ANTHRO 1156,East of Babylon,001,Anthropology,"Mutin,Benjamin Henri",1,0,0,0,0,0,0,1
212863,ANTHRO 1186,Violence in the Human Past,001,Anthropology,"Carter,Nicholas",11,2,0,0,0,0,0,13
125450,ANTHRO 1190,The Invasion of America,001,Anthropology,"Liebmann,Matt",18,1,0,1,0,0,0,20
127050,ANTHRO 1250,The Pyramids of Giza,001,Anthropology,"Manuelian,Peter Der",14,2,0,0,0,0,0,16
212875,ANTHRO 1255,Human Diet,001,Anthropology,"Warinner,Christina Gertrude",15,0,0,0,0,0,0,15
119379,ANTHRO 1610,Ethnographic Research Methods,001,Anthropology,"Jusionyte,Ieva",35,1,0,0,0,0,0,36
112218,ANTHRO 1640,Language and Culture,001,Anthropology,"Caton,Steven C.",11,0,0,0,1,0,0,12
120570,ANTHRO 1645,Exploring Culture Through Film,001,Anthropology,"Kusumaryati,Veronika",3,1,0,0,0,0,0,4
213502,ANTHRO 1687,"Wheat, Coffee, Cotton",001,Anthropology,"Sethi,Aarti",15,2,0,1,0,0,0,18
213467,ANTHRO 1824,Race and Genetics,001,Anthropology,"Jabloner,Anna",10,1,0,0,0,0,0,11
208154,ANTHRO 1900,Counseling as Colonization?,001,Anthropology,"Gone,Joseph Patrick",6,1,0,2,1,0,1,11
213503,ANTHRO 1926,Is More Money a Good Thing?,001,Anthropology,"Sethi,Aarti",9,0,0,0,0,0,0,9
108968,ANTHRO 2036,Lithic Technology,001,Anthropology,"Clark,Amy Elizabeth",2,2,0,0,0,0,0,4
120489,ANTHRO 2070,Archaeological Method & Theory,001,Anthropology,"Flad,Rowan K.",1,7,0,0,0,0,0,8
125735,ANTHRO 2250B,Proseminar in Archaeology,001,Anthropology,"Urton,Gary",0,9,0,1,0,0,0,10
212943,ANTHRO 2637,Subaltern Anthropology,001,Anthropology,"Carter,Youssef J.",3,3,0,1,0,0,0,7
110977,ANTHRO 2650A,Hist and Theory of Social Anth,001,Anthropology,"Harkness,Nicholas H.",0,5,0,0,0,0,0,5
122439,ANTHRO 2690,Middle East Ethnography,001,Anthropology,"Caton,Steven C.",3,5,0,1,0,0,0,9
119983,ANTHRO 2704,Ling Pragmatics & Cult Analysi,001,Anthropology,"Harkness,Nicholas H.",1,5,0,1,0,0,0,7
110009,ANTHRO 2727,Anthropology of Media,001,Anthropology,"Kusumaryati,Veronika",2,4,0,7,0,0,0,13
212865,ANTHRO 2841,Ethnography as Practice,001,Anthropology,"Jusionyte,Ieva",0,10,1,2,0,0,0,13
113022,ANTHRO 3000,Reading Course,003,Anthropology,"Carrasco,Davíd L.",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,010,Anthropology,"Flad,Rowan K.",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,014,Anthropology,"Jusionyte,Ieva",0,0,0,0,0,0,0,0
113022,ANTHRO 3000,Reading Course,025,Anthropology,"Clark,Amy Elizabeth",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,005,Anthropology,"Caton,Steven C.",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,010,Anthropology,"Flad,Rowan K.",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,012,Anthropology,"Good,Byron",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,014,Anthropology,"Jusionyte,Ieva",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,015,Anthropology,"Kleinman,Arthur",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for General Examinatio,017,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
110152,ANTHRO 3200,Dissertation Writing Workshop,001,Anthropology,"Caton,Steven C.",0,2,0,0,0,0,0,2
119079,ANTHRO 3400,Reading and Research,001,Anthropology,,0,12,0,0,0,0,0,12
210892,ANTHRO 3410,Teaching Fellows,001,Anthropology,,0,19,0,0,0,0,0,19
111058,ANTHRO 3500,Direction of Doctoral,001,Anthropology,"Bernstein,Anya",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,002,Anthropology,"Bestor,Theodore C",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,004,Anthropology,"Castaing-Taylor,Lucien",0,1,0,0,0,0,0,1
